zurich_class,largest_spot_size,spot_distribution,activity,evolution,prev_24h_activity,hist_complex,became_complex,area,area_largest_spot,c_class_flares,m_class_flares,x_class_flares,total_flares,flare_occurred,risk_score
C,R,I,1,3,3,1,1,1,4,1,0,0,1,1,1
D,K,C,1,3,2,1,1,2,1,0,0,0,0,0,0
C,K,O,2,1,1,1,1,1,1,2,0,0,2,1,1
C,R,O,1,3,1,1,1,1,2,2,0,0,2,1,1
C,X,I,2,1,2,1,2,1,4,0,0,0,0,0,0
D,K,O,2,2,2,1,1,2,1,0,0,0,0,0,0
C,S,O,1,1,2,1,1,4,2,1,0,0,1,1,1
E,S,O,1,1,1,1,1,2,1,3,0,0,3,1,1
F,H,C,1,2,2,1,2,4,1,1,1,0,2,1,2
B,R,I,2,1,1,1,1,1,2,0,0,0,0,0,0
D,S,O,1,2,1,1,1,3,2,0,0,0,0,0,0
C,K,O,1,3,1,2,1,3,1,1,0,0,1,1,1
C,A,I,1,1,1,1,1,2,2,0,0,0,0,0,0
F,A,I,2,1,1,1,1,1,2,2,0,0,2,1,1
B,S,I,1,2,1,1,1,3,2,1,0,0,1,1,1
B,H,O,1,1,2,1,1,2,1,0,0,0,0,0,0
A,R,C,1,1,1,1,2,2,1,2,0,0,2,1,1
E,K,I,1,1,2,1,1,4,1,2,0,0,2,1,1
D,K,I,1,1,1,1,1,2,3,0,0,0,0,0,0
E,A,C,1,1,1,1,1,1,1,0,0,0,0,0,0
H,R,O,2,1,3,1,1,3,1,3,0,0,3,1,1
D,H,C,1,1,1,2,1,1,4,1,0,0,1,1,1
C,K,X,1,1,1,2,1,1,1,2,0,0,2,1,1
D,A,O,1,1,2,2,2,1,2,0,0,0,0,0,0
B,S,I,2,2,1,1,1,1,1,0,0,0,0,0,0
D,R,O,1,1,1,2,1,4,5,0,0,0,0,0,0
B,H,O,1,2,1,2,1,3,3,0,0,0,0,0,0
F,K,O,2,1,2,2,1,2,1,2,0,0,2,1,1
C,R,O,1,3,2,2,1,3,3,0,0,0,0,0,0
C,H,I,1,1,3,1,1,5,2,1,0,0,1,1,1
B,X,I,2,2,1,1,1,2,1,0,0,0,0,0,0
D,K,C,1,1,1,1,1,2,1,3,0,0,3,1,1
C,A,C,1,2,1,1,1,2,1,1,0,0,1,1,1
C,A,C,1,2,1,1,1,1,3,0,0,0,0,0,0
A,S,O,2,3,1,1,1,1,5,1,0,0,1,1,1
C,K,O,2,1,3,1,1,2,3,2,0,0,2,1,1
C,S,C,1,2,1,1,1,2,4,1,0,0,1,1,1
C,H,I,1,1,1,1,2,1,1,0,0,0,0,0,0
F,K,O,2,1,1,2,1,2,4,2,1,0,3,1,2
